 AMAURI SILVA,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,JVF BARAH PUBLICIDADE E PROPAGANDAS LTDA - EPP,11.312.866/0001-54,"7.300,00",02/2018
 AMAURI SILVA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",02/2018
 AMAURI SILVA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"143,23",03/2018
 AMAURI SILVA,COMBUSTIVEL,CENTRO AUTOMOTIVO LAGO DE MICHIGAN LTDA,15.251.727/0001-19,"361,56",05/2018
 AMAURI SILVA,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"700,00",05/2018
 AMAURI SILVA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"1.647,15",05/2018
 AMAURI SILVA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,ROGERIO TEJEDA LISTE - EPP,13.579.523/0001-86,"1.039,00",05/2018
 AMAURI SILVA,PROVEDOR DE INTERNET,UNIVERSO ONLINE S.A.,01.109.184/0004-38,"26,50",05/2018
 AMAURI SILVA,COMBUSTIVEL,AUTO POSTO PLASMA LTDA,09.116.262/0001-90,"488,00",06/2018
 AMAURI SILVA,COMBUSTIVEL,CENTRO AUTOMOTIVO LAGO DE MICHIGAN LTDA,15.251.727/0001-19,"151,07",06/2018
 AMAURI SILVA,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,SANSÃO BARBOZA DE LIMA ME,57.345.654/0001-74,"6.400,00",06/2018
 AMAURI SILVA,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"700,00",06/2018
 AMAURI SILVA,CONTRATAÇAO DE PESSOA JURIDICA,NOVA DEXTER SERVIÇOS EMPRESARIAIS LTDA,13.769.839/0001-30,"6.000,00",06/2018
 AMAURI SILVA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",06/2018
 AMAURI SILVA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,ROGERIO TEJEDA LISTE - EPP,13.579.523/0001-86,"630,05",06/2018
 AMAURI SILVA,COMBUSTIVEL,AUTO POSTO PLASMA LTDA,09.116.262/0001-90,"891,83",07/2018
 AMAURI SILVA,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,SANSÃO BARBOZA DE LIMA ME,57.345.654/0001-74,"7.400,00",07/2018
 AMAURI SILVA,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"700,00",07/2018
 AMAURI SILVA,CONTRATAÇAO DE PESSOA JURIDICA,ARIANA DE PAULA CANTEIRO,11.828.188/0001-87,"7.000,00",07/2018
 AMAURI SILVA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.148,45",07/2018
 AMAURI SILVA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,ROGERIO TEJEDA LISTE - EPP,13.579.523/0001-86,"1.100,70",07/2018
 AMAURI SILVA,COMBUSTIVEL,AUTO POSTO PLASMA LTDA,09.116.262/0001-90,"525,25",08/2018
 AMAURI SILVA,COMBUSTIVEL,CENTRO AUTOMOTIVO LAGO DE MICHIGAN LTDA,15.251.727/0001-19,"370,06",08/2018
 AMAURI SILVA,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,SANSÃO BARBOZA DE LIMA ME,57.345.654/0001-74,"7.000,00",08/2018
 AMAURI SILVA,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"700,00",08/2018
