 JONAS CAMISA NOVA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"738,21",03/2019
 JONAS CAMISA NOVA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA,43.283.811/0056-23,"554,40",03/2019
 JONAS CAMISA NOVA,COMBUSTIVEL,EG AUTO POSTO LTDA,11.127.070/0001-21,"1.005,21",04/2019
 JONAS CAMISA NOVA,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRAFICA EDITORA GUNTERNAKA LTDA - ME,62.308.473/0001-08,"10.450,00",04/2019
 JONAS CAMISA NOVA,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"700,00",04/2019
 JONAS CAMISA NOVA,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"13,45",04/2019
 JONAS CAMISA NOVA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.214,62",04/2019
 JONAS CAMISA NOVA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,ADJ COMÉRCIO DE CARIMBOS E IMPRESSOS LTDA. ME,02.320.179/0001-90,"230,00",04/2019
 JONAS CAMISA NOVA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA,43.283.811/0017-17,"403,60",04/2019
 JONAS CAMISA NOVA,COMBUSTIVEL,EG AUTO POSTO LTDA,11.127.070/0001-21,"1.122,99",05/2019
 JONAS CAMISA NOVA,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRAFICA EDITORA GUNTERNAKA LTDA - ME,62.308.473/0001-08,"10.640,00",05/2019
 JONAS CAMISA NOVA,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"700,00",05/2019
 JONAS CAMISA NOVA,CONTRATAÇAO DE PESSOA JURIDICA,FACEBOOK SERVICOS ON LINE DO BRASIL LTDA,13.347.016/0001-17,"30,00",05/2019
 JONAS CAMISA NOVA,CONTRATAÇAO DE PESSOA JURIDICA,NAGIB ELUF SOCIEDADE DE ADVOGADOS,16.979.772/0001-57,"10.000,00",05/2019
 JONAS CAMISA NOVA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.214,62",05/2019
 JONAS CAMISA NOVA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"93,55",05/2019
 JONAS CAMISA NOVA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,KALUNGA COMÉRCIO E INDÚSTRIA GRÁFICA LTDA,43.283.811/0017-17,"599,00",05/2019
 JONAS CAMISA NOVA,PROVEDOR DE INTERNET,TELEFONICA BRASIL S/A,02.558.157/0001-62,"61,32",05/2019
 JONAS CAMISA NOVA,COMBUSTIVEL,EG AUTO POSTO LTDA,11.127.070/0001-21,"882,69",06/2019
 JONAS CAMISA NOVA,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,GRAFICA EDITORA GUNTERNAKA LTDA - ME,62.308.473/0001-08,"14.775,00",06/2019
 JONAS CAMISA NOVA,CONTRATAÇAO DE PESSOA JURIDICA,SOLARYS SOLUÇÕES DIGITAIS LTDA-ME,08.648.207/0001-89,"700,00",06/2019
 JONAS CAMISA NOVA,CONTRATAÇAO DE PESSOA JURIDICA,NAGIB ELUF SOCIEDADE DE ADVOGADOS,16.979.772/0001-57,"10.000,00",06/2019
 JONAS CAMISA NOVA,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"12,05",06/2019
