 PATRÍCIA BEZERRA,INTERMEDIADO - REPROGRAFIA (XEROX/ENCADERNAÇÃO),CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"21,42",05/2017
 PATRÍCIA BEZERRA,COMBUSTIVEL,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,"130,01",06/2017
 PATRÍCIA BEZERRA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"770,43",06/2017
 PATRÍCIA BEZERRA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"2.007,35",06/2017
 PATRÍCIA BEZERRA,TELEFONE MOVEL,CLARO S.A.,40.432.544/0001-47,"575,72",06/2017
 PATRÍCIA BEZERRA,COMBUSTIVEL,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,"435,11",07/2017
 PATRÍCIA BEZERRA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.101,17",07/2017
 PATRÍCIA BEZERRA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"426,70",07/2017
 PATRÍCIA BEZERRA,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"141,90",07/2017
 PATRÍCIA BEZERRA,COMBUSTIVEL,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,"1.194,93",08/2017
 PATRÍCIA BEZERRA,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,ARTE LU E RO GRAFICA EIRELI,18.588.528/0001-99,"5.100,00",08/2017
 PATRÍCIA BEZERRA,CONTRATAÇAO DE PESSOA JURIDICA,MILAN & FALZONI COMUNICAÇÃO E PRODUCÕES LTDA,02.520.205/0001-23,"7.797,00",08/2017
 PATRÍCIA BEZERRA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.101,17",08/2017
 PATRÍCIA BEZERRA,MATERIAL DE ESCRITORIO E OUTROS MATERIAIS DE CONSUMO,CENTER PAPEIS COMERCIAL LTDA.,06.226.820/0001-82,"1.859,65",08/2017
 PATRÍCIA BEZERRA,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"161,92",08/2017
 PATRÍCIA BEZERRA,TELEFONE MOVEL,CLARO S.A.,40.432.544/0001-47,"1.269,13",08/2017
 PATRÍCIA BEZERRA,COMBUSTIVEL,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,"1.007,75",09/2017
 PATRÍCIA BEZERRA,CORREIOS,EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS - AGF SAO JOAQUIM,00.402.832/0001-34,"3.510,00",09/2017
 PATRÍCIA BEZERRA,EVENTOS/SEMINARIOS,MILAN & FALZONI COMUNICAÇÃO E PRODUCÕES LTDA,02.520.205/0001-23,"5.100,00",09/2017
 PATRÍCIA BEZERRA,EVENTOS/SEMINARIOS,MOINHO DAS FLORES LTDA - ME,10.867.837/0001-96,"610,00",09/2017
 PATRÍCIA BEZERRA,EVENTOS/SEMINARIOS,VIVAGRAF COMERCIO DE PRODUTOS PROMOCIONAIS EIRELI,25.200.006/0001-33,"1.420,00",09/2017
 PATRÍCIA BEZERRA,INTERMEDIADO - LOCAÇÃO DE VEÍCULOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.101,17",09/2017
 PATRÍCIA BEZERRA,TELEFONE FIXO,TELEFONICA BRASIL S/A,02.558.157/0001-62,"161,85",09/2017
 PATRÍCIA BEZERRA,TELEFONE MOVEL,CLARO S.A.,40.432.544/0001-47,"387,90",09/2017
 PATRÍCIA BEZERRA,COMBUSTIVEL,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,"1.526,58",10/2017
 PATRÍCIA BEZERRA,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,MURC EDITORA GRAFICA LTDA EPP,00.645.965/0001-31,"1.130,00",10/2017
