 SOUZA SANTOS,COMPOSIÇÃO/ARTE/DIAGRAMAÇÃO/PRODUÇÃO/IMPRESSAO GRAFICA,YRGRAF ARTES GRAFICAS LTDA ME,56.055.833/0001-04,"7.928,00",01/2017
 SOUZA SANTOS,CONTRATAÇAO DE PESSOA JURIDICA,RODRIGO RIBEIRO & AMANDA RIBEIRO SOCIEDADE DE ADVOGADOS,20.410.907/0001-36,"7.068,46",01/2017
 SOUZA SANTOS,CONTRATAÇAO DE PESSOA JURIDICA,WORK LINE SYSTEM INFORMÁTICA LTDA,67.002.329/0001-62,"931,54",01/2017
 SOUZA SANTOS,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,LOCAWEB IDC LTDA,06.887.099/0001-71,"238,77",01/2017
 SOUZA SANTOS,INTERMEDIADO - CORREIOS,CAMARA MUNICIPAL DE SÃO PAULO,50.176.288/0001-28,"2.552,49",01/2017
 SOUZA SANTOS,LOCAÇÃO DE MOVEIS E EQUIPAMENTOS,SINALL COM E SERV DE MÁQUINAS LTDA,69.064.053/0001-72,"299,82",01/2017
 SOUZA SANTOS,LOCAÇÃO DE VEÍCULOS,QUALITY ALUGUEL DE VEICULOS LTDA,72.653.009/0001-02,"1.912,48",01/2017
 SOUZA SANTOS,TELEFONE MOVEL,NEXTEL TELECOMUNICAÇÕES LTDA,66.970.229/0001-67,"255,87",01/2017
 SOUZA SANTOS,COMBUSTIVEL,AUTO POSTO GRANERO LTDA.,05.468.615/0001-60,"859,00",02/2017
 SOUZA SANTOS,CONTRATAÇAO DE PESSOA JURIDICA,RODRIGO RIBEIRO & AMANDA RIBEIRO SOCIEDADE DE ADVOGADOS,20.410.907/0001-36,"7.068,46",02/2017
 SOUZA SANTOS,CONTRATAÇAO DE PESSOA JURIDICA,WORK LINE SYSTEM INFORMÁTICA LTDA,67.002.329/0001-62,"931,54",02/2017
 SOUZA SANTOS,ELABORAÇÃO/MANUTENÇAO DE SITE/HOSPEDAGEM,LOCAWEB IDC LTDA,06.887.099/0001-71,"238,77",02/2017
